dist,n,L,trials,algo,avg_bins,avg_time_ms,avg_ratio
Uniform small n,8,10,50,NF,5.74,0.002,1.135
Uniform small n,8,10,50,FF,5.24,0.004,1.028
Uniform small n,8,10,50,BF,5.2,0.003,1.01966667
Uniform small n,8,10,50,FFD,5.12,0.004,1.0
Uniform small n,8,10,50,BFD,5.12,0.003,1.0
Many small items,8,10,50,NF,3.84,0.002,1.146
Many small items,8,10,50,FF,3.44,0.003,1.04
Many small items,8,10,50,BF,3.4,0.003,1.02666667
Many small items,8,10,50,FFD,3.34,0.004,1.01
Many small items,8,10,50,BFD,3.34,0.003,1.01
Many large items,8,10,50,NF,6.4,0.002,1.10628571
Many large items,8,10,50,FF,5.92,0.003,1.02266667
Many large items,8,10,50,BF,5.86,0.003,1.012
Many large items,8,10,50,FFD,5.8,0.004,1.0
Many large items,8,10,50,BFD,5.8,0.004,1.0
Bimodal,8,10,50,NF,4.08,0.002,1.116
Bimodal,8,10,50,FF,3.78,0.003,1.037
Bimodal,8,10,50,BF,3.74,0.003,1.02533333
Bimodal,8,10,50,FFD,3.64,0.003,1.0
Bimodal,8,10,50,BFD,3.64,0.003,1.0
Perfect packing,8,10,50,NF,9.92,0.005,1.24
Perfect packing,8,10,50,FF,8.72,0.009,1.09
Perfect packing,8,10,50,BF,8.6,0.009,1.075
Perfect packing,8,10,50,FFD,8.0,0.011,1.0
Perfect packing,8,10,50,BFD,8.0,0.01,1.0
Uniform small n,12,10,50,NF,8.58,0.003,1.15195238
Uniform small n,12,10,50,FF,7.62,0.005,1.01821429
Uniform small n,12,10,50,BF,7.6,0.005,1.01599206
Uniform small n,12,10,50,FFD,7.48,0.006,1.0
Uniform small n,12,10,50,BFD,7.48,0.005,1.0
Many small items,12,10,50,NF,5.08,0.003,1.15583333
Many small items,12,10,50,FF,4.5,0.004,1.028
Many small items,12,10,50,BF,4.48,0.004,1.023
Many small items,12,10,50,FFD,4.38,0.005,1.0
Many small items,12,10,50,BFD,4.38,0.005,1.0
Many large items,12,10,50,NF,9.58,0.003,1.14592857
Many large items,12,10,50,FF,8.68,0.005,1.03453968
