dist,n,L,trials,solver,avg_bins,avg_time_ms
Uniform small n,8,10,50,my_own_exact_solver,5.12,0.016
Uniform small n,8,10,50,MIP,5.12,5.224
Many small items,8,10,50,my_own_exact_solver,3.32,0.013
Many small items,8,10,50,MIP,3.32,3.973
Many large items,8,10,50,my_own_exact_solver,5.8,0.016
Many large items,8,10,50,MIP,5.8,4.362
Bimodal,8,10,50,my_own_exact_solver,3.64,0.013
Bimodal,8,10,50,MIP,3.64,4.718
Perfect packing,8,10,50,my_own_exact_solver,8.0,0.033
Perfect packing,8,10,50,MIP,8.0,22.761
Uniform small n,12,10,50,my_own_exact_solver,7.48,0.025
Uniform small n,12,10,50,MIP,7.48,2380.684
Many small items,12,10,50,my_own_exact_solver,4.38,0.017
Many small items,12,10,50,MIP,4.38,179.919
Many large items,12,10,50,my_own_exact_solver,8.42,0.029
Many large items,12,10,50,MIP,8.42,92.327
Bimodal,12,10,50,my_own_exact_solver,5.42,0.02
Bimodal,12,10,50,MIP,5.42,1451.624
Perfect packing,12,10,50,my_own_exact_solver,12.0,0.055
Perfect packing,12,10,50,MIP,12.0,54.383
Uniform small n,16,10,50,my_own_exact_solver,9.76,0.028
Many small items,16,10,50,my_own_exact_solver,6.02,0.025
Many large items,16,10,50,my_own_exact_solver,10.54,0.041
Bimodal,16,10,50,my_own_exact_solver,7.3,0.024
Perfect packing,16,10,50,my_own_exact_solver,16.0,0.073
Uniform small n,8,10,50,my_own_exact_solver,5.24,0.016
Uniform small n,8,10,50,MIP,5.24,4.98
Many small items,8,10,50,my_own_exact_solver,3.42,0.012
Many small items,8,10,50,MIP,3.42,4.365
Many large items,8,10,50,my_own_exact_solver,5.84,0.016
Many large items,8,10,50,MIP,5.84,4.123
Bimodal,8,10,50,my_own_exact_solver,3.94,0.013
Bimodal,8,10,50,MIP,3.94,10.807
Perfect packing,8,10,50,my_own_exact_solver,8.0,0.033
Perfect packing,8,10,50,MIP,8.0,22.462
Uniform small n,12,10,50,my_own_exact_solver,7.46,0.025
Uniform small n,12,10,50,MIP,7.46,627.984
Many small items,12,10,50,my_own_exact_solver,4.68,0.019
Many small items,12,10,50,MIP,4.68,18.937
Many large items,12,10,50,my_own_exact_solver,8.06,0.028
Many large items,12,10,50,MIP,8.06,306.322
Bimodal,12,10,50,my_own_exact_solver,5.32,0.021
