dist,n,L,trials,algo,avg_bins,avg_time_ms,avg_ratio
Uniform small n,8,10,50,NF,5.98,0.002010015305131674,1.1253809523809524
Uniform small n,8,10,50,FF,5.48,0.0032366416417062283,1.0219999999999998
Uniform small n,8,10,50,BF,5.4,0.0029708980582654476,1.0066666666666666
Uniform small n,8,10,50,FFD,5.38,0.0035667221527546644,1.0
Uniform small n,8,10,50,BFD,5.38,0.0033275375608354807,1.0
Many small items,8,10,50,NF,3.66,0.0019675411749631166,1.1206666666666667
Many small items,8,10,50,FF,3.32,0.003042503958567977,1.0199999999999998
Many small items,8,10,50,BF,3.32,0.002875842619687319,1.0199999999999998
Many small items,8,10,50,FFD,3.24,0.0032908376306295395,1.0
Many small items,8,10,50,BFD,3.24,0.003138420870527625,1.0
Many large items,8,10,50,NF,6.08,0.002050043549388647,1.101047619047619
Many large items,8,10,50,FF,5.66,0.0033616810105741024,1.0186666666666668
Many large items,8,10,50,BF,5.62,0.002981756115332246,1.0106666666666668
Many large items,8,10,50,FFD,5.56,0.003588339313864708,1.0
Many large items,8,10,50,BFD,5.56,0.0034382205922156572,1.0
Bimodal,8,10,50,NF,3.96,0.002075859811156988,1.0663333333333334
Bimodal,8,10,50,FF,3.82,0.0031133636366575956,1.035
Bimodal,8,10,50,BF,3.78,0.0030034000519663095,1.025
Bimodal,8,10,50,FFD,3.7,0.003371520433574915,1.0
Bimodal,8,10,50,BFD,3.7,0.0033932854421436787,1.0
Perfect packing,8,10,50,NF,10.24,0.004428359679877758,1.28
Perfect packing,8,10,50,FF,8.6,0.008797581540420651,1.075
Perfect packing,8,10,50,BF,8.52,0.009265837725251913,1.065
Perfect packing,8,10,50,FFD,8.0,0.010084158275276423,1.0
Perfect packing,8,10,50,BFD,8.0,0.010419184109196067,1.0
Uniform small n,12,10,50,NF,8.46,0.003447498893365264,1.1326428571428573
Uniform small n,12,10,50,FF,7.72,0.005496758967638016,1.0334920634920635
Uniform small n,12,10,50,BF,7.64,0.004937514895573258,1.0222222222222221
Uniform small n,12,10,50,FFD,7.5,0.006293323822319508,1.0
Uniform small n,12,10,50,BFD,7.5,0.0054533209186047316,1.0
Many small items,12,10,50,NF,5.4,0.002823316026479006,1.1311904761904765
Many small items,12,10,50,FF,4.86,0.004618378588929772,1.0221904761904765
Many small items,12,10,50,BF,4.84,0.004423422506079078,1.0181904761904763
Many small items,12,10,50,FFD,4.78,0.005119200795888901,1.008
Many small items,12,10,50,BFD,4.78,0.0049183249939233065,1.008
Many large items,12,10,50,NF,9.36,0.0033591652754694223,1.1559855699855703
Many large items,12,10,50,FF,8.42,0.005628364160656929,1.0357857142857145
Many large items,12,10,50,BF,8.38,0.004932552110403776,1.0310634920634922
Many large items,12,10,50,FFD,8.16,0.0064342026598751545,1.0
Many large items,12,10,50,BFD,8.16,0.005480002146214247,1.0
Bimodal,12,10,50,NF,5.98,0.0033683539368212223,1.1015714285714284
Bimodal,12,10,50,FF,5.64,0.005126657197251916,1.0379999999999998
Bimodal,12,10,50,BF,5.6,0.004937462508678436,1.0296666666666665
Bimodal,12,10,50,FFD,5.46,0.0059866218362003565,1.0
Bimodal,12,10,50,BFD,5.46,0.005401709349825978,1.0
Perfect packing,12,10,50,NF,15.08,0.006918279686942697,1.2566666666666668
Perfect packing,12,10,50,FF,12.64,0.014281601179391146,1.0533333333333337
Perfect packing,12,10,50,BF,12.54,0.014850858133286238,1.0450000000000004
Perfect packing,12,10,50,FFD,12.0,0.017336657037958503,1.0
Perfect packing,12,10,50,BFD,12.0,0.01748659531585872,1.0
Uniform small n,16,10,50,NF,11.16,0.0019765994511544704,1.1935028860028862
Uniform small n,16,10,50,FF,9.84,0.004805804928764701,1.0498189033189036
Uniform small n,16,10,50,BF,9.68,0.005555833922699094,1.0308823953823956
Uniform small n,16,10,50,FFD,9.4,0.005584225291386247,1.0
Uniform small n,16,10,50,BFD,9.4,0.00657329335808754,1.0
Many small items,16,10,50,NF,7.2,0.00189916230738163,1.1739761904761905
Many small items,16,10,50,FF,6.26,0.00411420245654881,1.0220952380952384
Many small items,16,10,50,BF,6.22,0.0047166598960757256,1.0163809523809524
Many small items,16,10,50,FFD,6.14,0.004763283068314195,1.0033333333333332
Many small items,16,10,50,BFD,6.14,0.005429876036942005,1.0033333333333332
Many large items,16,10,50,NF,12.26,0.0018816033843904734,1.1658535353535358
Many large items,16,10,50,FF,10.86,0.0046908436343073845,1.0316717171717174
Many large items,16,10,50,BF,10.72,0.005368278361856937,1.0178131313131313
Many large items,16,10,50,FFD,10.54,0.005387457786127925,1.0
Many large items,16,10,50,BFD,10.54,0.0063642009627074,1.0
Bimodal,16,10,50,NF,8.32,0.0019242777489125729,1.1292142857142862
Bimodal,16,10,50,FF,7.78,0.004099957877770066,1.0530714285714284
Bimodal,16,10,50,BF,7.64,0.005118323024362326,1.0337142857142856
Bimodal,16,10,50,FFD,7.44,0.004540042718872428,1.0
Bimodal,16,10,50,BFD,7.44,0.006454117828980088,1.0
Perfect packing,16,10,50,NF,19.78,0.0048533419612795115,1.23625
Perfect packing,16,10,50,FF,16.76,0.015385003061965108,1.0475
Perfect packing,16,10,50,BF,16.66,0.018130800453945994,1.04125
Perfect packing,16,10,50,FFD,16.0,0.01964425900951028,1.0
Perfect packing,16,10,50,BFD,16.0,0.02289581927470863,1.0
Uniform small n,20,10,50,NF,14.16,0.0022616155911237,1.1970035520035525
Uniform small n,20,10,50,FF,12.42,0.006165817612782121,1.0474558774558778
Uniform small n,20,10,50,BF,12.34,0.0072541204281151295,1.0400444000444002
Uniform small n,20,10,50,FFD,11.88,0.007023338694125414,1.0
Uniform small n,20,10,50,BFD,11.88,0.008429166628047824,1.0
Many small items,20,10,50,NF,8.84,0.002332554431632161,1.1529877344877346
Many small items,20,10,50,FF,7.78,0.005525797605514526,1.0192142857142859
Many small items,20,10,50,BF,7.72,0.0062500417698174715,1.0113571428571428
Many small items,20,10,50,FFD,7.64,0.006433338858187199,1.0
Many small items,20,10,50,BFD,7.64,0.0072183809243142605,1.0
Many large items,20,10,50,NF,15.36,0.0022174790501594543,1.170961499285029
Many large items,20,10,50,FF,13.62,0.006309167947620153,1.0357329337329337
Many large items,20,10,50,BF,13.5,0.007254182128235698,1.025989343989344
Many large items,20,10,50,FFD,13.18,0.007225022418424487,1.0
Many large items,20,10,50,BFD,13.18,0.00857413630001247,1.0
Bimodal,20,10,50,NF,9.9,0.0023016566410660744,1.1315115440115442
Bimodal,20,10,50,FF,9.14,0.005448326701298356,1.0437150072150077
Bimodal,20,10,50,BF,8.98,0.006791696650907397,1.0265079365079366
Bimodal,20,10,50,FFD,8.78,0.005969922058284283,1.0
Bimodal,20,10,50,BFD,8.78,0.00869085662998259,1.0
Perfect packing,20,10,50,NF,24.6,0.006056617712602019,1.2300000000000002
Perfect packing,20,10,50,FF,20.58,0.021544976625591516,1.0289999999999995
Perfect packing,20,10,50,BF,20.44,0.025025877403095365,1.0219999999999994
Perfect packing,20,10,50,FFD,20.0,0.02754174405708909,1.0
Perfect packing,20,10,50,BFD,20.0,0.03201260115019977,1.0
Uniform small n,24,10,50,NF,16.86,0.002633321564644575,1.1962278758393312
Uniform small n,24,10,50,FF,14.64,0.007818301673978567,1.0364722581340233
Uniform small n,24,10,50,BF,14.58,0.008987600449472666,1.0317286683904334
Uniform small n,24,10,50,FFD,14.14,0.008901696419343352,1.0
Uniform small n,24,10,50,BFD,14.14,0.01087079755961895,1.0
Many small items,24,10,50,NF,10.64,0.002965843304991722,1.1835822510822511
Many small items,24,10,50,FF,9.16,0.006758301751688123,1.0221515151515153
Many small items,24,10,50,BF,9.1,0.007760860025882721,1.0149292929292928
Many small items,24,10,50,FFD,8.96,0.007944199023768306,1.0
Many small items,24,10,50,BFD,8.96,0.009185081580653787,1.0
Many large items,24,10,50,NF,18.76,0.002574877580627799,1.1674796162729602
Many large items,24,10,50,FF,16.62,0.008154284441843629,1.0328423292393885
Many large items,24,10,50,BF,16.5,0.009497562423348427,1.0245566149536742
Many large items,24,10,50,FFD,16.12,0.009161654161289334,1.0
Many large items,24,10,50,BFD,16.12,0.011086701415479183,1.0
Bimodal,24,10,50,NF,12.42,0.0026974803768098354,1.177399988899989
Bimodal,24,10,50,FF,11.24,0.006848374614492059,1.0636023976023978
Bimodal,24,10,50,BF,11.16,0.008866657735779881,1.0556175491175495
Bimodal,24,10,50,FFD,10.62,0.007693324005231261,1.0
Bimodal,24,10,50,BFD,10.62,0.011266720248386264,1.0
Perfect packing,24,10,50,NF,29.9,0.007168280426412821,1.2458333333333333
Perfect packing,24,10,50,FF,24.66,0.028006595093756914,1.0274999999999996
Perfect packing,24,10,50,BF,24.54,0.03278754069469869,1.0224999999999995
Perfect packing,24,10,50,FFD,24.0,0.036911669885739684,1.0
Perfect packing,24,10,50,BFD,24.0,0.041699999710544944,1.0
Uniform small n,28,10,50,NF,19.98,0.003141679335385561,1.2100391275391276
Uniform small n,28,10,50,FF,17.08,0.009942480828613043,1.0325310901688616
Uniform small n,28,10,50,BF,17.0,0.011756685562431812,1.0281382453116203
Uniform small n,28,10,50,FFD,16.56,0.011207538191229105,1.0
Uniform small n,28,10,50,BFD,16.56,0.014155067037791014,1.0
Many small items,28,10,50,NF,12.34,0.0032275391276925802,1.192719724719725
Many small items,28,10,50,FF,10.5,0.008959200931712985,1.0171748251748254
Many small items,28,10,50,BF,10.48,0.009864161256700754,1.014952602952603
Many small items,28,10,50,FFD,10.32,0.010279237758368254,1.0
Many small items,28,10,50,BFD,10.32,0.011801653308793902,1.0
Many large items,28,10,50,NF,21.92,0.0029858003836125135,1.162251786076056
Many large items,28,10,50,FF,19.56,0.01041994197294116,1.0347391779747752
Many large items,28,10,50,BF,19.4,0.012119883904233575,1.0259759447638708
Many large items,28,10,50,FFD,18.94,0.011572502553462982,1.0
Many large items,28,10,50,BFD,18.94,0.014114215737208724,1.0
Bimodal,28,10,50,NF,14.2,0.0030800793319940567,1.1775981045098693
Bimodal,28,10,50,FF,12.68,0.008294123690575361,1.0483527583527588
Bimodal,28,10,50,BF,12.58,0.010784099576994777,1.0388982128982132
Bimodal,28,10,50,FFD,12.16,0.009066615020856261,1.0
Bimodal,28,10,50,BFD,12.16,0.013988303253427148,1.0
Perfect packing,28,10,50,NF,34.82,0.00847245566546917,1.2435714285714288
Perfect packing,28,10,50,FF,28.62,0.03563166130334139,1.022142857142857
Perfect packing,28,10,50,BF,28.5,0.04114836687222123,1.0178571428571426
Perfect packing,28,10,50,FFD,28.0,0.04755759728141129,1.0
Perfect packing,28,10,50,BFD,28.0,0.054543440928682685,1.0
Uniform small n,30,10,50,NF,21.26,0.00322994077578187,1.202926679443707
Uniform small n,30,10,50,FF,18.44,0.010730801150202751,1.0414008796501057
Uniform small n,30,10,50,BF,18.18,0.013077555922791362,1.0272503317116322
Uniform small n,30,10,50,FFD,17.72,0.012194202281534672,1.0
Uniform small n,30,10,50,BFD,17.72,0.015250103315338492,1.0
Many small items,30,10,50,NF,13.24,0.003292482579126954,1.1933197913197915
Many small items,30,10,50,FF,11.32,0.009025022154673934,1.0203469863469865
Many small items,30,10,50,BF,11.3,0.01039590104483068,1.0185850815850819
Many small items,30,10,50,FFD,11.08,0.010844924254342914,1.0
Many small items,30,10,50,BFD,11.08,0.012474203249439597,1.0
Many large items,30,10,50,NF,23.24,0.003245720872655511,1.177101501719889
Many large items,30,10,50,FF,20.38,0.011271614348515868,1.029461519702535
Many large items,30,10,50,BF,20.18,0.013364162296056747,1.019109206840631
Many large items,30,10,50,FFD,19.82,0.012770044850185513,1.0
Many large items,30,10,50,BFD,19.82,0.015710844891145825,1.0
Bimodal,30,10,50,NF,15.2,0.003307536244392395,1.1525853835706776
Bimodal,30,10,50,FF,13.78,0.0092158408369869,1.040200521700522
Bimodal,30,10,50,BF,13.64,0.012126644141972065,1.0297094572094574
Bimodal,30,10,50,FFD,13.28,0.01008073566481471,1.0
Bimodal,30,10,50,BFD,13.28,0.015505760675296187,1.0
Perfect packing,30,10,50,NF,37.02,0.00922340084798634,1.234
Perfect packing,30,10,50,FF,30.66,0.0418042007368058,1.0219999999999998
Perfect packing,30,10,50,BF,30.58,0.048223279882222414,1.0193333333333332
Perfect packing,30,10,50,FFD,30.0,0.05590246291831136,1.0
Perfect packing,30,10,50,BFD,30.0,0.06404833868145943,1.0
Uniform big n,50,10,50,NF,35.34,0.005114162340760231,
Uniform big n,50,10,50,FF,29.92,0.023144138976931572,
Uniform big n,50,10,50,BF,29.58,0.028564223321154714,
Uniform big n,50,10,50,FFD,28.66,0.026174996746703982,
Uniform big n,50,10,50,BFD,28.66,0.03453665878623724,
Many small items,50,10,50,NF,21.46,0.005044942954555154,
Many small items,50,10,50,FF,17.96,0.01736168283969164,
Many small items,50,10,50,BF,17.9,0.020594102097675204,
Many small items,50,10,50,FFD,17.88,0.022710878401994705,
Many small items,50,10,50,BFD,17.88,0.025959181366488338,
Many large items,50,10,50,NF,38.5,0.004687543259933591,
Many large items,50,10,50,FF,33.48,0.02417665906250477,
Many large items,50,10,50,BF,33.22,0.029968275921419263,
Many large items,50,10,50,FFD,32.58,0.026747459778562188,
Many large items,50,10,50,BFD,32.58,0.034695841604843736,
Bimodal,50,10,50,NF,24.76,0.004926715046167374,
Bimodal,50,10,50,FF,21.68,0.017720781033858657,
Bimodal,50,10,50,BF,21.52,0.02442996366880834,
Bimodal,50,10,50,FFD,20.96,0.01929915859363973,
Bimodal,50,10,50,BFD,20.96,0.03332508262246847,
Perfect packing,50,10,50,NF,61.28,0.014862575335428119,
Perfect packing,50,10,50,FF,50.68,0.09686500183306634,
Perfect packing,50,10,50,BF,50.52,0.10813927394337952,
Perfect packing,50,10,50,FFD,50.0,0.12893249979242682,
Perfect packing,50,10,50,BFD,50.0,0.14959006337448955,
Uniform big n,100,10,50,NF,70.34,0.010104280663654208,
Uniform big n,100,10,50,FF,58.48,0.07484744070097804,
Uniform big n,100,10,50,BF,58.06,0.0916916795540601,
Uniform big n,100,10,50,FFD,56.44,0.08483665762469172,
Uniform big n,100,10,50,BFD,56.44,0.11203670292161405,
Many small items,100,10,50,NF,42.34,0.010036679450422525,
Many small items,100,10,50,FF,35.32,0.051615823758766055,
Many small items,100,10,50,BF,35.22,0.058437439147382975,
Many small items,100,10,50,FFD,35.12,0.06709169712848961,
Many small items,100,10,50,BFD,35.12,0.0794250366743654,
Many large items,100,10,50,NF,76.42,0.01019161893054843,
Many large items,100,10,50,FF,65.38,0.0829567015171051,
Many large items,100,10,50,BF,65.0,0.10302743758074939,
Many large items,100,10,50,FFD,64.14,0.09259171667508781,
Many large items,100,10,50,BFD,64.14,0.12483665719628334,
Bimodal,100,10,50,NF,49.86,0.010577418142929673,
Bimodal,100,10,50,FF,42.98,0.05433336249552667,
Bimodal,100,10,50,BF,42.7,0.08085590554401278,
Bimodal,100,10,50,FFD,42.26,0.059209116734564304,
Bimodal,100,10,50,BFD,42.26,0.11867918074131012,
Perfect packing,100,10,50,NF,122.34,0.03025167970918119,
Perfect packing,100,10,50,FF,100.68,0.3539524180814624,
Perfect packing,100,10,50,BF,100.56,0.37198491976596415,
Perfect packing,100,10,50,FFD,100.0,0.4752450215164572,
Perfect packing,100,10,50,BFD,100.0,0.5464242352172732,
Uniform big n,200,10,50,NF,141.14,0.020896740024909377,
Uniform big n,200,10,50,FF,116.1,0.26648166007362306,
Uniform big n,200,10,50,BF,115.2,0.3205457387957722,
Uniform big n,200,10,50,FFD,112.76,0.30214081751182675,
Uniform big n,200,10,50,BFD,112.76,0.41656829765997827,
Many small items,200,10,50,NF,85.14,0.020863439422100782,
Many small items,200,10,50,FF,69.82,0.17838078318163753,
Many small items,200,10,50,BF,69.78,0.19188162288628519,
Many small items,200,10,50,FFD,69.68,0.23349823197349906,
Many small items,200,10,50,BFD,69.68,0.2826290996745229,
Many large items,200,10,50,NF,152.5,0.021435902453958988,
Many large items,200,10,50,FF,129.44,0.2966842637397349,
Many large items,200,10,50,BF,128.86,0.3670875378884375,
Many large items,200,10,50,FFD,127.72,0.3224017599131912,
Many large items,200,10,50,BFD,127.72,0.44935167650692165,
Bimodal,200,10,50,NF,98.62,0.020718323066830635,
Bimodal,200,10,50,FF,83.82,0.182168441824615,
Bimodal,200,10,50,BF,83.6,0.27824836201034486,
Bimodal,200,10,50,FFD,82.92,0.19817168242298067,
Bimodal,200,10,50,BFD,82.92,0.431763423839584,
Perfect packing,200,10,50,NF,244.72,0.05980828427709639,
Perfect packing,200,10,50,FF,200.76,1.2840092019177973,
Perfect packing,200,10,50,BF,200.58,1.3306391576770693,
Perfect packing,200,10,50,FFD,200.0,1.7406841786578298,
Perfect packing,200,10,50,BFD,200.0,2.0174108212813735,
Uniform big n,50,100,50,NF,34.28,0.005019978852942586,
Uniform big n,50,100,50,FF,28.8,0.021285860566422343,
Uniform big n,50,100,50,BF,28.58,0.02789918566122651,
Uniform big n,50,100,50,FFD,27.44,0.025389158399775624,
Uniform big n,50,100,50,BFD,27.44,0.03581336117349565,
Many small items,50,100,50,NF,21.16,0.004776561399921775,
Many small items,50,100,50,FF,17.66,0.016119899228215218,
Many small items,50,100,50,BF,17.42,0.021055781980976462,
Many small items,50,100,50,FFD,16.9,0.020384140079841018,
Many small items,50,100,50,BFD,16.9,0.0258092419244349,
Many large items,50,100,50,NF,39.64,0.004495041212067008,
Many large items,50,100,50,FF,35.72,0.02244330127723515,
Many large items,50,100,50,BF,35.56,0.028940001502633095,
Many large items,50,100,50,FFD,34.9,0.026324990903958678,
Many large items,50,100,50,BFD,34.9,0.03669159836135805,
Bimodal,50,100,50,NF,26.34,0.004754961701110005,
Bimodal,50,100,50,FF,25.18,0.017419260693714023,
Bimodal,50,100,50,BF,25.08,0.026515002828091383,
Bimodal,50,100,50,FFD,25.0,0.019404919585213065,
Bimodal,50,100,50,BFD,25.0,0.03924664342775941,
Perfect packing,50,100,50,NF,63.36,0.026068456936627626,
Perfect packing,50,100,50,FF,51.06,0.17318340251222253,
Perfect packing,50,100,50,BF,50.96,0.2125933428760618,
Perfect packing,50,100,50,FFD,50.0,0.27822920121252537,
Perfect packing,50,100,50,BFD,50.0,0.30949000269174576,
Uniform big n,100,100,50,NF,67.36,0.010148398578166962,
Uniform big n,100,100,50,FF,56.0,0.06927180103957653,
Uniform big n,100,100,50,BF,55.2,0.09243333712220192,
Uniform big n,100,100,50,FFD,53.24,0.08445499930530787,
Uniform big n,100,100,50,BFD,53.24,0.12336918036453426,
Many small items,100,100,50,NF,41.24,0.009891641093418002,
Many small items,100,100,50,FF,33.56,0.04951424081809819,
Many small items,100,100,50,BF,33.38,0.06398591795004904,
Many small items,100,100,50,FFD,32.6,0.06547070224769413,
Many small items,100,100,50,BFD,32.6,0.0810184411238879,
Many large items,100,100,50,NF,79.68,0.009730015881359577,
Many large items,100,100,50,FF,70.62,0.07861748337745667,
Many large items,100,100,50,BF,70.12,0.10451582144014537,
Many large items,100,100,50,FFD,69.36,0.09537756443023682,
Many large items,100,100,50,BFD,69.36,0.13247416471131146,
Bimodal,100,100,50,NF,51.32,0.010126659180969,
Bimodal,100,100,50,FF,48.72,0.0533376052044332,
Bimodal,100,100,50,BF,48.5,0.09549836278893054,
Bimodal,100,100,50,FFD,48.36,0.059987459098920226,
Bimodal,100,100,50,BFD,48.36,0.13919579680077732,
Perfect packing,100,100,50,NF,126.7,0.051005841232836246,
Perfect packing,100,100,50,FF,101.08,0.6101924192626029,
Perfect packing,100,100,50,BF,100.98,0.697690878296271,
