dist,n,L,trials,solver,avg_bins,avg_time_ms
Uniform small n,8,10,50,my_own_exact_solver,5.38,0.015752476174384356
Uniform small n,8,10,50,MIP,5.38,11.924364254809916
Many small items,8,10,50,my_own_exact_solver,3.24,0.011667556827887893
Many small items,8,10,50,MIP,3.24,4.360269143944606
Many large items,8,10,50,my_own_exact_solver,5.56,0.01625583739951253
Many large items,8,10,50,MIP,5.56,6.3978224992752075
Bimodal,8,10,50,my_own_exact_solver,3.7,0.013181579997763038
Bimodal,8,10,50,MIP,3.7,9.78443754487671
Perfect packing,8,10,50,my_own_exact_solver,8.0,0.032120762625709176
Perfect packing,8,10,50,MIP,8.0,22.692573339445516
Uniform small n,12,10,50,my_own_exact_solver,7.5,0.026675021508708596
Uniform small n,12,10,50,MIP,7.5,429.14296923438087
Many small items,12,10,50,my_own_exact_solver,4.74,0.0186541595030576
Many small items,12,10,50,MIP,4.74,76.30275251693092
Many large items,12,10,50,my_own_exact_solver,8.16,0.028064179932698607
Many large items,12,10,50,MIP,8.16,4496.116163341794
Bimodal,12,10,50,my_own_exact_solver,5.46,0.021627441747114062
Bimodal,12,10,50,MIP,5.46,3420.60354751884
Perfect packing,12,10,50,my_own_exact_solver,12.0,0.05453500314615667
Perfect packing,12,10,50,MIP,12.0,53.25896085938439
Uniform small n,16,10,50,my_own_exact_solver,9.4,0.03862168057821691
Many small items,16,10,50,my_own_exact_solver,6.12,0.02036746242083609
Many large items,16,10,50,my_own_exact_solver,10.54,0.02985833678394556
Bimodal,16,10,50,my_own_exact_solver,7.44,0.021558337612077594
Perfect packing,16,10,50,my_own_exact_solver,16.0,0.06180090247653425
Uniform small n,20,10,50,my_own_exact_solver,11.88,0.03653239575214684
Many small items,20,10,50,my_own_exact_solver,7.64,0.129015005659312
Many large items,20,10,50,my_own_exact_solver,13.18,0.04718495882116258
Bimodal,20,10,50,my_own_exact_solver,8.78,0.02769830054603517
Perfect packing,20,10,50,my_own_exact_solver,20.0,0.0862366845831275
Uniform small n,24,10,50,my_own_exact_solver,14.14,0.1394715765491128
Many small items,24,10,50,my_own_exact_solver,8.96,0.02467669895850122
Many large items,24,10,50,my_own_exact_solver,16.12,0.09155081468634307
Bimodal,24,10,50,my_own_exact_solver,10.62,0.04067830042913556
Perfect packing,24,10,50,my_own_exact_solver,24.0,0.11395758017897606
Uniform small n,28,10,50,my_own_exact_solver,16.56,0.18852326553314924
Many small items,28,10,50,my_own_exact_solver,10.32,0.0317342160269618
Many large items,28,10,50,my_own_exact_solver,18.94,0.14538750052452087
Bimodal,28,10,50,my_own_exact_solver,12.16,0.0509241980034858
Perfect packing,28,10,50,my_own_exact_solver,28.0,0.14671578304842114
Uniform small n,30,10,50,my_own_exact_solver,17.72,0.08452169829979539
Many small items,30,10,50,my_own_exact_solver,11.08,0.03317906288430095
Many large items,30,10,50,my_own_exact_solver,19.82,0.1185182819608599
Bimodal,30,10,50,my_own_exact_solver,13.28,0.06273155799135566
Perfect packing,30,10,50,my_own_exact_solver,30.0,0.16773503506556153
